Date,McCain,MoE,Obama,Poll,Sample,Spread,State
9/10,64.0,,32.0,Rasmussen,500.0,-32.0,UT
9/11,62.0,,24.0,Deseret News,601.0,-38.0,UT
8/15,62.0,,23.0,Mason-Dixon,400.0,-39.0,UT
6/19,52.0,,33.0,Rasmussen,500.0,-19.0,UT
6/19,57.0,,29.0,Deseret News,405.0,-28.0,UT
6/3,54.0,,31.0,Jones & Assoc,252.0,-23.0,UT
5/19,62.0,,27.0,Deseret News,604.0,-35.0,UT
2/28,50.0,,39.0,SurveyUSA,608.0,-11.0,UT
10/31,36.0,3.9,60.0,SurveyUSA,637.0,24.0,CA
10/28,33.0,3.3,55.0,Field,966.0,22.0,CA
10/25,34.0,4.5,61.0,Rasmussen,500.0,27.0,CA
10/31,37.0,3.4,54.0,Des Moines Register,814.0,17.0,IA
10/29,40.0,3.9,55.0,SurveyUSA,658.0,15.0,IA
10/29,39.0,4.0,53.0,Research 2000,600.0,14.0,IA
11/2,49.0,3.0,49.0,FOX News/Rasmussen,1000.0,0.0,MO
11/3,49.0,4.1,49.0,Reuters/Zogby,585.0,0.0,MO
11/2,48.0,3.9,48.0,SurveyUSA,674.0,0.0,MO
10/30,47.0,4.0,46.0,Mason-Dixon,625.0,-1.0,MO
10/29,50.0,3.4,47.0,Politico/InAdv,814.0,-3.0,MO
10/30,48.0,4.0,48.0,ARG,600.0,0.0,MO
11/2,49.0,3.0,49.0,FOX News/Rasmussen,1000.0,0.0,OH
11/3,47.0,4.1,49.0,Reuters/Zogby,687.0,2.0,OH
11/2,46.0,3.9,48.0,SurveyUSA,660.0,2.0,OH
11/2,46.0,2.7,52.0,Univ of Cinci/Ohio Poll,1221.0,6.0,OH
11/2,43.0,2.5,50.0,Quinnipiac,1574.0,7.0,OH
10/30,47.0,4.0,45.0,Mason-Dixon,625.0,-2.0,OH
11/2,47.0,3.0,51.0,FOX News/Rasmussen,1000.0,4.0,VA
11/3,45.0,4.1,52.0,Reuters/Zogby,690.0,7.0,VA
11/3,47.0,4.0,51.0,ARG,600.0,4.0,VA
11/1,46.0,3.9,50.0,SurveyUSA,672.0,4.0,VA
10/30,44.0,4.0,47.0,Mason-Dixon,625.0,3.0,VA
11/2,47.0,3.0,51.0,FOX News/Rasmussen,1000.0,4.0,CO
10/29,44.0,4.0,49.0,Denver Post/Mason-Dixon,625.0,5.0,CO
10/30,45.0,4.0,52.0,ARG,600.0,7.0,CO
10/28,45.0,4.0,51.0,Marist,682.0,6.0,CO
10/22,53.0,4.0,41.0,SurveyUSA,613.0,-12.0,KS
10/13,54.0,4.5,41.0,Rasmussen,500.0,-13.0,KS
9/22,53.0,3.9,41.0,SurveyUSA,666.0,-12.0,KS
9/18,58.0,4.5,38.0,Rasmussen,500.0,-20.0,KS
8/20,58.0,3.9,35.0,SurveyUSA,641.0,-23.0,KS
8/11,55.0,4.5,41.0,Rasmussen,500.0,-14.0,KS
7/14,58.0,,35.0,Rasmussen,500.0,-23.0,KS
7/1,49.0,,36.0,TargetPoint (R),3004.0,-13.0,KS
6/11,47.0,,37.0,Rasmussen,500.0,-10.0,KS
6/8,45.0,,41.0,Cooper & Secrest (D)*,808.0,-4.0,KS
6/4,51.0,,40.0,Research 2000,600.0,-11.0,KS
5/18,49.0,,39.0,SurveyUSA,600.0,-10.0,KS
5/13,55.0,,34.0,Rasmussen,500.0,-21.0,KS
4/13,54.0,,37.0,SurveyUSA,516.0,-17.0,KS
2/28,50.0,,41.0,SurveyUSA,598.0,-9.0,KS
2/17,50.0,,44.0,SurveyUSA,514.0,-6.0,KS
12/15,56.0,,36.0,SurveyUSA,529.0,-20.0,KS
10/30,49.0,,46.0,ARG,600.0,-3.0,MT
10/30,48.0,,44.0,Research 2000,600.0,-4.0,MT
10/29,50.0,,46.0,Rasmussen,500.0,-4.0,MT
10/25,48.0,,44.0,NBC/Mason-Dixon,625.0,-4.0,MT
9/29,64.0,,34.0,SurveyUSA,656.0,-30.0,OK
9/11,63.0,,32.0,Rasmussen,500.0,-31.0,OK
9/7,65.0,,32.0,SurveyUSA,652.0,-33.0,OK
7/23,56.0,,24.0,Sooner Poll,750.0,-32.0,OK
6/11,52.0,,38.0,Research 2000,600.0,-14.0,OK
4/10,62.0,,21.0,Cole Hargrave Snodgrass & Associates,500.0,-41.0,OK
2/28,57.0,,34.0,SurveyUSA,599.0,-23.0,OK
1/30,58.0,,30.0,Sooner Poll,757.0,-28.0,OK
9/13,36.0,,60.0,Rasmussen,500.0,24.0,VT
9/14,36.0,,55.0,Research 2000,400.0,19.0,VT
2/28,29.0,,63.0,SurveyUSA,626.0,34.0,VT
2/21,36.0,,57.0,Research 2000,400.0,21.0,VT
10/22,31.0,,56.0,Hartford Courant,502.0,25.0,CT
10/14,39.0,,56.0,Rasmussen,500.0,17.0,CT
9/25,38.0,,54.0,SurveyUSA,686.0,16.0,CT
11/1,56.0,,40.0,SurveyUSA,616.0,-16.0,KY
10/29,55.0,,43.0,Rasmussen,500.0,-12.0,KY
10/29,51.0,,42.0,Mason-Dixon,817.0,-9.0,KY
10/29,56.0,,39.0,Research 2000,600.0,-17.0,KY
7/28,55.0,,36.0,Rasmussen,500.0,-19.0,NE
6/23,52.0,,36.0,Rasmussen,500.0,-16.0,NE
5/21,57.0,,29.0,Research 2000,600.0,-28.0,NE
5/18,49.0,,40.0,SurveyUSA,600.0,-9.0,NE
5/15,50.0,,39.0,Rasmussen,500.0,-11.0,NE
2/28,45.0,,42.0,SurveyUSA,623.0,-3.0,NE
10/30,42.0,4.0,54.0,Rasmussen,500.0,12.0,OR
10/29,39.0,4.0,55.0,Research 2000,500.0,16.0,OR
10/26,38.0,3.8,57.0,SurveyUSA,672.0,19.0,OR
11/2,40.0,3.9,56.0,SurveyUSA,663.0,16.0,WA
10/31,39.0,5.0,51.0,The Washington Poll,387.0,12.0,WA
10/22,43.0,4.5,54.0,Rasmussen,500.0,11.0,WA
10/28,33.0,,63.0,SurveyUSA,657.0,30.0,DE
10/10,41.0,,56.0,Rasmussen,500.0,15.0,DE
10/8,38.0,,56.0,West Chester Univ.,429.0,18.0,DE
10/21,57.0,,41.0,Rasmussen,500.0,-16.0,LA
9/25,55.0,,40.0,Rasmussen,500.0,-15.0,LA
8/17,57.0,,39.0,Rasmussen,500.0,-18.0,LA
7/9,56.0,,37.0,Rasmussen,500.0,-19.0,LA
6/28,52.0,,36.0,S. Media/Op. Research,600.0,-16.0,LA
5/28,50.0,,41.0,Rasmussen,500.0,-9.0,LA
4/9,51.0,,35.0,S. Media/Op. Research,600.0,-16.0,LA
2/28,54.0,,39.0,SurveyUSA,599.0,-15.0,LA
11/3,47.0,4.0,52.0,ARG,600.0,5.0,NV
11/3,42.0,4.1,53.0,Reuters/Zogby,586.0,11.0,NV
10/29,43.0,4.0,47.0,LVRJ/Mason-Dixon,625.0,4.0,NV
10/27,46.0,4.0,50.0,Rasmussen,700.0,4.0,NV
10/28,45.0,4.0,50.0,Reno Gazette-Journal,600.0,5.0,NV
10/26,40.0,4.6,50.0,Suffolk,450.0,10.0,NV
11/3,43.0,3.9,52.0,SurveyUSA,657.0,9.0,PA
11/3,41.0,4.1,51.0,Reuters/Zogby,682.0,10.0,PA
11/1,46.0,4.0,52.0,Rasmussen,700.0,6.0,PA
11/2,46.0,4.0,52.0,Morning Call,617.0,6.0,PA
10/31,45.0,4.0,51.0,ARG,600.0,6.0,PA
11/2,42.0,2.5,52.0,Quinnipiac,1493.0,10.0,PA
10/28,43.0,4.0,47.0,NBC/Mason-Dixon,625.0,4.0,PA
11/3,53.0,4.0,42.0,ARG,600.0,-11.0,WV
10/26,50.0,4.1,40.0,Reuters/Zogby,600.0,-10.0,WV
10/24,49.0,4.0,43.0,Research 2000,600.0,-6.0,WV
10/21,53.0,4.0,44.0,CNN/Time,674.0,-9.0,WV
10/20,52.0,4.5,43.0,Rasmussen,500.0,-9.0,WV
11/2,50.0,3.0,49.0,FOX News/Rasmussen,1000.0,-1.0,FL
11/3,47.0,3.8,50.0,SurveyUSA,691.0,3.0,FL
11/3,48.0,4.1,49.0,Reuters/Zogby,678.0,1.0,FL
11/2,45.0,2.3,47.0,Quinnipiac,1773.0,2.0,FL
10/31,46.0,4.0,50.0,ARG,600.0,4.0,FL
10/30,47.0,4.0,49.0,Mason-Dixon,625.0,2.0,FL
11/1,43.0,,56.0,Rasmussen,500.0,13.0,ME
10/20,39.0,,54.0,SurveyUSA,642.0,15.0,ME
10/19,35.0,,56.0,Critical Insights,443.0,21.0,ME
10/16,39.0,,51.0,Pan Atlantic SMS,400.0,12.0,ME
10/15,38.0,,55.0,Research 2000,600.0,17.0,ME
11/2,42.0,3.9,53.0,WMUR/UNH,830.0,11.0,NH
10/30,44.0,4.0,51.0,Rasmussen,700.0,7.0,NH
10/30,42.0,3.8,53.0,SurveyUSA,682.0,11.0,NH
10/30,44.0,4.0,51.0,Concord Monitor,600.0,7.0,NH
10/30,41.0,4.0,56.0,ARG,600.0,15.0,NH
10/29,40.0,4.0,53.0,Suffolk,600.0,13.0,NH
8/20,30.0,,51.0,Brown University,548.0,21.0,RI
6/30,31.0,,55.0,Rasmussen,500.0,24.0,RI
6/27,25.0,,53.0,Rhode Island College,500.0,28.0,RI
2/28,38.0,,53.0,SurveyUSA,628.0,15.0,RI
10/29,39.0,3.9,55.0,SurveyUSA,667.0,16.0,WI
10/28,42.0,4.0,53.0,Research 2000,600.0,11.0,WI
10/28,42.0,5.2,52.0,U. of WI,359.0,10.0,WI
10/23,44.0,4.5,51.0,Rasmussen,500.0,7.0,WI
11/2,48.0,4.0,47.0,InAdv/PollPosition,512.0,-1.0,GA
11/2,52.0,3.8,45.0,SurveyUSA,683.0,-7.0,GA
10/30,52.0,4.5,47.0,Rasmussen,500.0,-5.0,GA
10/30,47.0,4.0,44.0,Research 2000,600.0,-3.0,GA
9/5,38.0,,52.0,Gonzales Res.,833.0,14.0,MD
8/18,43.0,,53.0,Rasmussen,500.0,10.0,MD
3/1,37.0,,51.0,Gonzales Res.,807.0,14.0,MD
2/28,40.0,,53.0,SurveyUSA,620.0,13.0,MD
1/2,42.0,,48.0,Rasmussen,500.0,6.0,MD
11/2,42.0,4.5,57.0,Rasmussen,500.0,15.0,NJ
10/31,34.0,3.5,55.0,Monmouth/Gannett,801.0,21.0,NJ
10/30,42.0,4.0,52.0,SurveyUSA,632.0,10.0,NJ
10/28,38.0,4.0,54.0,Research 2000,600.0,16.0,NJ
10/29,52.0,,44.0,SurveyUSA,654.0,-8.0,SC
10/28,53.0,,42.0,NBC/PSRA,400.0,-11.0,SC
10/20,54.0,,43.0,Rasmussen,500.0,-11.0,SC
10/16,58.0,,35.0,Research 2000,500.0,-23.0,WY
9/24,57.0,,36.0,Research 2000,500.0,-21.0,WY
9/10,58.0,,39.0,Rasmussen,500.0,-19.0,WY
8/15,62.0,,25.0,Mason-Dixon,400.0,-37.0,WY
5/21,53.0,,40.0,Research 2000,500.0,-13.0,WY
2/28,54.0,,35.0,SurveyUSA,576.0,-19.0,WY
