Poll,Date,Sample,MoE,Obama,McCain,Spread
CNN,6/5,921,,49.0,46.0,3.0
CBS News,6/3,930,,48.0,42.0,6.0
USA Today/Gallup,6/1,803,,47.0,44.0,3.0
Cook/RT Strategies,5/31,802,,44.0,43.0,1.0
Pew Research,5/25,1242,,47.0,44.0,3.0
Newsweek,5/22,1205,,46.0,46.0,0.0
Reuters/Zogby,5/18,1076,,48.0,40.0,8.0
IBD/TIPP,5/18,953,3.2,48.0,37.0,11.0
Rasmussen,5/16,3000,2.0,44.0,45.0,-1.0
Gallup,5/16,4385,2.0,44.0,47.0,-3.0
Democracy Corps (D),5/15,1014,,48.0,46.0,2.0
Battleground,5/14,1018,,49.0,47.0,2.0
Quinnipiac,5/12,1475,2.4,47.0,40.0,7.0
ABC News/Wash Post,5/11,1122,,51.0,44.0,7.0
POS/GQR,5/8,800,,48.0,43.0,5.0
LA Times/Bloomberg,5/8,1986,,46.0,40.0,6.0
Ipsos,5/4,755,,46.0,42.0,4.0
USA Today/Gallup,5/3,803,,47.0,48.0,-1.0
CBS News/NY Times,5/3,601,4.0,51.0,40.0,11.0
Hotline/FD,5/3,803,,47.0,43.0,4.0
CNN,4/30,906,,49.0,45.0,4.0
FOX News,4/29,900,,43.0,46.0,-3.0
CBS News/NY Times,4/29,956,,45.0,45.0,0.0
NBC/WSJ,4/28,1006,,46.0,43.0,3.0
Rasmussen,4/27,1600,,46.0,46.0,0.0
Pew Research,4/27,1323,,50.0,44.0,6.0
AP-Ipsos,4/27,760,,46.0,44.0,2.0
Newsweek,4/25,1203,,47.0,44.0,3.0
USA Today/Gallup,4/20,1016,,47.0,44.0,3.0
Cook/RT Strategies,4/20,802,,45.0,44.0,1.0
Newsweek,4/17,1209,,48.0,44.0,4.0
Reuters/Zogby,4/13,1049,,45.0,45.0,0.0
ABC/Wash Post,4/13,1197,,49.0,44.0,5.0
Rasmussen,4/13,1600,,42.0,49.0,-7.0
AP-Ipsos,4/9,749,,45.0,45.0,0.0
Gallup,4/6,4380,2.0,45.0,45.0,0.0
CBS News/NY Times,4/2,1196,,47.0,42.0,5.0
Hotline/FD,3/31,799,,44.0,46.0,-2.0
Rasmussen,3/30,1600,,42.0,47.0,-5.0
NBC/WSJ,3/25,800,,44.0,42.0,2.0
Pew Research,3/22,1248,,49.0,43.0,6.0
FOX News,3/19,900,,43.0,44.0,-1.0
CBS News,3/18,0,,48.0,43.0,5.0
CNN,3/16,950,,47.0,46.0,1.0
USA Today/Gallup,3/15,685,,49.0,47.0,2.0
Reuters/Zogby,3/14,1004,,40.0,46.0,-6.0
NBC/WSJ,3/10,1012,,47.0,44.0,3.0
Cook/RT Strategies,3/9,802,,43.0,45.0,-2.0
Newsweek,3/6,1215,,46.0,45.0,1.0
ABC/Wash Post,3/2,0,,53.0,42.0,11.0
Cook/RT Strategies,3/2,802,,47.0,38.0,9.0
LA Times/Bloomberg,2/25,0,,42.0,44.0,-2.0
AP-Ipsos,2/24,755,,51.0,41.0,10.0
USA Today/Gallup,2/24,1653,,47.0,48.0,-1.0
Pew Research,2/24,1240,,50.0,43.0,7.0
CBS News/NY Times,2/24,1115,,50.0,38.0,12.0
FOX News,2/20,900,,47.0,43.0,4.0
Hotline/FD,2/17,803,,48.0,40.0,8.0
Reuters/Zogby,2/16,928,,47.0,40.0,7.0
USA Today/Gallup,2/10,706,,50.0,46.0,4.0
AP-Ipsos,2/10,1029,,48.0,42.0,6.0
Time,2/4,958,,48.0,41.0,7.0
CNN,2/3,974,,52.0,44.0,8.0
Cook/RT Strategies,2/2,855,,45.0,43.0,2.0
ABC/Wash Post,2/1,1249,,49.0,46.0,3.0
FOX News,1/31,900,,44.0,43.0,1.0
NPR,1/31,1000,,47.0,48.0,-1.0
Rasmussen,1/27,1200,,41.0,47.0,-6.0
NBC/WSJ,1/22,1008,,42.0,42.0,0.0
LA Times/Bloomberg,1/22,1312,,41.0,42.0,-1.0
Rasmussen,1/17,800,,46.0,41.0,5.0
USA Today/Gallup,1/13,1106,,45.0,50.0,-5.0
Hotline/FD,1/12,803,,41.0,39.0,2.0
CNN,1/10,840,,49.0,48.0,1.0
Rasmussen,1/6,800,,43.0,46.0,-3.0
FOX News,12/19,900,,40.0,44.0,-4.0
Zogby,12/14,1000,,47.0,43.0,4.0
CNN,12/9,0,,48.0,48.0,0.0
Rasmussen,11/27,800,,44.0,44.0,0.0
Rasmussen,11/17,800,,46.0,43.0,3.0
Gallup,11/14,897,,47.0,44.0,3.0
Quinnipiac,10/29,1636,,43.0,43.0,0.0
LA Times/Bloomberg,10/22,522,,44.0,36.0,8.0
FOX News,9/26,900,,40.0,38.0,2.0
Rasmussen,9/20,800,,46.0,41.0,5.0
Quinnipiac,8/13,1545,,43.0,39.0,4.0
Rasmussen,8/2,800,,46.0,40.0,6.0
FOX News,7/18,900,,47.0,37.0,10.0
Rasmussen,7/17,1029,,47.0,38.0,9.0
Zogby,7/14,1012,,45.0,42.0,3.0
CNN,6/24,907,,48.0,44.0,4.0
Newsweek,6/21,831,,51.0,41.0,10.0
Rasmussen,6/14,800,,46.0,38.0,8.0
USA Today/Gallup,6/14,927,,48.0,46.0,2.0
Quinnipiac,6/11,1711,,43.0,41.0,2.0
LA Times/Bloomberg,6/10,1056,,47.0,35.0,12.0
Zogby,5/20,993,,46.0,43.0,3.0
Hotline/FD,5/20,800,,42.0,39.0,3.0
Newsweek,5/3,831,,52.0,39.0,13.0
Marist,5/1,823,,39.0,46.0,-7.0
Quinnipiac,5/1,1166,,42.0,42.0,0.0
Hotline/FD,4/30,801,,48.0,37.0,11.0
NBC/WSJ,4/23,1004,,45.0,39.0,6.0
Rasmussen,4/10,800,,48.0,42.0,6.0
Time,4/9,1102,,47.0,42.0,5.0
LA Times/Bloomberg,4/9,603,,48.0,40.0,8.0
Time,3/26,1102,,43.0,45.0,-2.0
Rasmussen,3/15,800,,44.0,44.0,0.0
Time,3/12,1500,,44.0,41.0,3.0
American Res. Group,3/5,2104,,42.0,46.0,-4.0
Newsweek,3/1,1202,,45.0,43.0,2.0
Time,2/26,1144,,46.0,42.0,4.0
Zogby,2/24,1078,,44.0,40.0,4.0
Quinnipiac,2/19,1536,,43.0,43.0,0.0
Marist,2/15,978,,41.0,44.0,-3.0
USA Today/Gallup,2/11,936,,48.0,48.0,0.0
Rasmussen,2/8,800,,44.0,44.0,0.0
Newsweek,1/25,837,,48.0,42.0,6.0
Time,1/23,1064,,42.0,49.0,-7.0
ABC News/Wash Post,1/19,1000,,47.0,45.0,2.0
Rasmussen,1/18,800,,47.0,44.0,3.0
Newsweek,1/18,1003,,46.0,44.0,2.0
Hotline/FD,1/14,800,,38.0,43.0,-5.0
Battleground,1/11,500,,39.0,51.0,-12.0
IBD/TIPP,1/4,951,,36.0,48.0,-12.0
CNN,12/17,1019,,43.0,47.0,-4.0
Rasmussen,12/13,1000,,40.0,46.0,-6.0
Newsweek,12/7,1000,,43.0,45.0,-2.0
FOX News,12/6,900,,30.0,49.0,-19.0
Rasmussen,11/7,1000,,39.0,47.0,-8.0
