Poll,Date,Sample,MoE,Obama,Romney,Spread
FOX News,8/21,1007.0,3.0,44.0,45.0,-1.0
Resurgent Republic (R),8/22,1000.0,3.1,46.0,45.0,1.0
Associated Press/GfK,8/20,885.0,4.1,47.0,46.0,1.0
NBC News/Wall St. Jrnl,8/20,1000.0,3.1,48.0,44.0,4.0
Monmouth/SurveyUSA/Braun,8/19,1149.0,2.9,46.0,45.0,1.0
LA Times/USC,8/19,954.0,3.2,48.0,46.0,2.0
Rasmussen Reports,8/10,1500.0,3.0,44.0,46.0,-2.0
Gallup,8/12,3050.0,2.0,46.0,46.0,0.0
CNN/Opinion Research,8/8,911.0,3.5,52.0,45.0,7.0
Politico/GWU/Battleground,8/9,1000.0,3.1,48.0,47.0,1.0
FOX News,8/7,930.0,3.0,49.0,40.0,9.0
IBD/CSM/TIPP,8/10,828.0,3.5,46.0,39.0,7.0
Reuters/Ipsos,8/6,1014.0,3.4,49.0,42.0,7.0
Rasmussen Reports,7/31,1500.0,3.0,44.0,47.0,-3.0
Gallup,7/31,3050.0,2.0,47.0,45.0,2.0
Democracy Corps (D),7/25,700.0,3.7,50.0,46.0,4.0
Pew Research,7/26,1956.0,3.2,51.0,41.0,10.0
NBC News/Wall St. Jrnl,7/22,1000.0,3.1,49.0,43.0,6.0
FOX News,7/17,901.0,3.0,45.0,41.0,4.0
CBS News/NY Times,7/16,942.0,3.0,46.0,47.0,-1.0
Rasmussen Reports,7/14,1500.0,3.0,45.0,45.0,0.0
Gallup,7/14,3050.0,2.0,47.0,45.0,2.0
NPR,7/12,1000.0,3.1,47.0,45.0,2.0
McClatchy/Marist,7/11,849.0,3.5,48.0,46.0,2.0
WashTimes/JZ Analytics*,7/8,800.0,3.5,42.0,43.0,-1.0
Reuters/Ipsos,7/9,885.0,3.4,49.0,43.0,6.0
ABC News/Wash Post,7/8,449.1367552046546,4.0,47.0,47.0,0.0
Quinnipiac,7/8,2722.0,1.9,46.0,43.0,3.0
Rasmussen Reports,7/6,1500.0,3.0,45.0,45.0,0.0
Gallup,7/8,3050.0,2.0,47.0,45.0,2.0
Pew Research,7/9,2373.0,2.3,50.0,43.0,7.0
CNN/Opinion Research,7/1,1390.0,2.5,49.0,46.0,3.0
Newsweek/Daily Beast,6/28,600.0,4.0,47.0,44.0,3.0
Democracy Corps (D),6/27,1000.0,3.1,49.0,46.0,3.0
FOX News,6/26,912.0,3.0,45.0,40.0,5.0
NBC News/Wall St. Jrnl,6/24,819.0,3.4,47.0,44.0,3.0
Rasmussen Reports,6/20,1500.0,3.0,43.0,47.0,-4.0
Gallup,6/20,3050.0,2.0,45.0,47.0,-2.0
Bloomberg,6/18,734.0,3.6,53.0,40.0,13.0
Associated Press/GfK,6/18,878.0,4.2,47.0,44.0,3.0
Pew Research,6/17,1563.0,2.9,50.0,46.0,4.0
Reuters/Ipsos,6/11,848.0,3.4,45.0,44.0,1.0
Monmouth/SurveyUSA/Braun,6/6,1152.0,2.9,47.0,46.0,1.0
Rasmussen Reports,6/6,1500.0,3.0,46.0,46.0,0.0
Gallup,6/8,3050.0,2.0,46.0,45.0,1.0
FOX News,6/5,907.0,3.0,43.0,43.0,0.0
IBD/CSM/TIPP,6/8,841.0,3.5,46.0,42.0,4.0
CNN/Opinion Research,5/31,895.0,3.5,49.0,46.0,3.0
ABC News/Wash Post,5/20,874.0,4.0,49.0,46.0,3.0
NBC News/Wall St. Jrnl,5/20,449.1367552046546,3.7712031166268867,47.0,43.0,4.0
Pew Research,6/3,2388.0,2.3,49.0,42.0,7.0
Rasmussen Reports,5/16,1500.0,3.0,45.0,46.0,-1.0
Gallup,5/17,3050.0,3.7712031166268867,45.0,46.0,-1.0
FOX News,5/15,913.0,3.0,46.0,39.0,7.0
IBD/CSM/TIPP,5/16,778.0,3.6,43.0,40.0,3.0
Mason-Dixon,5/14,1000.0,3.0,44.0,47.0,-3.0
CBS News/NY Times**,5/13,562.0,4.0,43.0,46.0,-3.0
WashTimes/JZ Analytics*,5/12,800.0,3.5,43.0,44.0,-1.0
Gallup,5/9,3000.0,2.0,44.0,47.0,-3.0
Associated Press/GfK,5/7,871.0,4.2,50.0,42.0,8.0
Reuters/Ipsos,5/7,959.0,3.2,49.0,42.0,7.0
Rasmussen Reports,5/6,1500.0,3.0,45.0,47.0,-2.0
Resurgent Republic (R),5/3,1000.0,3.1,49.0,42.0,7.0
Politico/GWU/Battleground,5/3,1000.0,3.1,47.0,48.0,-1.0
IBD/CSM/TIPP,5/4,856.0,3.3,46.0,43.0,3.0
Democracy Corps (D),5/1,1000.0,4.0,47.0,47.0,0.0
Gallup,4/28,2200.0,3.0,47.0,46.0,1.0
Rasmussen Reports,4/27,1500.0,3.0,47.0,45.0,2.0
FOX News,4/24,915.0,3.0,46.0,46.0,0.0
National Journal,4/22,1004.0,3.7,47.0,39.0,8.0
NBC News/Wall St. Jrnl,4/17,449.1367552046546,3.7712031166268867,49.0,43.0,6.0
CBS News/NY Times,4/17,852.0,3.0,46.0,46.0,0.0
Quinnipiac,4/17,2577.0,1.9,46.0,42.0,4.0
Gallup,4/16,2200.0,3.0,43.0,48.0,-5.0
CNN/Opinion Research,4/15,910.0,3.5,52.0,43.0,9.0
Rasmussen Reports,4/15,1500.0,3.0,44.0,47.0,-3.0
Reuters/Ipsos,4/15,891.0,3.3,47.0,43.0,4.0
PPP (D),4/15,900.0,3.3,49.0,46.0,3.0
Pew Research,4/15,2373.0,2.3,49.0,45.0,4.0
FOX News,4/11,910.0,3.0,44.0,46.0,-2.0
Rasmussen Reports,4/8,1500.0,3.0,46.0,44.0,2.0
ABC News/Wash Post,4/8,449.1367552046546,3.7712031166268867,51.0,44.0,7.0
IBD/CSM/TIPP,4/5,816.0,3.3,46.0,38.0,8.0
USA Today/Gallup,3/26,901.0,4.0,49.0,45.0,4.0
CNN/Opinion Research,3/25,925.0,3.0,54.0,43.0,11.0
Rasmussen Reports,3/25,1500.0,3.0,46.0,43.0,3.0
McClatchy/Marist,3/22,846.0,3.5,46.0,44.0,2.0
PPP (D),3/17,900.0,3.3,48.0,44.0,4.0
Reason-Rupe,3/20,1200.0,3.0,46.0,40.0,6.0
FOX News,3/12,912.0,3.0,46.0,42.0,4.0
Reuters/Ipsos,3/11,937.0,3.3,52.0,41.0,11.0
Bloomberg,3/11,746.0,3.6,47.0,47.0,0.0
Pew Research,3/11,1188.0,3.5,54.0,42.0,12.0
Rasmussen Reports,3/10,1500.0,3.0,42.0,48.0,-6.0
CBS News/NY Times,3/11,878.0,3.0,47.0,44.0,3.0
ABC News/Wash Post,3/10,449.1367552046546,3.7712031166268867,47.0,49.0,-2.0
IBD/CSM/TIPP,3/11,807.0,3.3,46.0,41.0,5.0
NBC News/Wall St. Jrnl,3/3,449.1367552046546,3.7712031166268867,50.0,44.0,6.0
Politico/GWU/Battleground,2/22,1000.0,3.1,53.0,43.0,10.0
USA Today/Gallup,2/21,881.0,4.0,47.0,47.0,0.0
Associated Press/GfK,2/20,1000.0,4.1,51.0,43.0,8.0
USA Today/Gallup,2/19,898.0,4.0,46.0,50.0,-4.0
Rasmussen Reports,2/18,1500.0,3.0,47.0,43.0,4.0
Quinnipiac,2/20,2605.0,1.9,46.0,44.0,2.0
Democracy Corps (D),2/14,1000.0,3.1,49.0,45.0,4.0
CNN/Opinion Research,2/13,937.0,3.0,51.0,46.0,5.0
CBS News/NY Times,2/13,1604.0,3.0,48.0,42.0,6.0
PPP (D),2/12,1200.0,2.8,49.0,42.0,7.0
Pew Research,2/12,1172.0,3.5,52.0,44.0,8.0
Rasmussen Reports,2/9,1500.0,3.0,50.0,40.0,10.0
FOX News,2/9,1110.0,3.0,47.0,42.0,5.0
Reuters/Ipsos,2/6,881.0,3.3,48.0,42.0,6.0
ABC News/Wash Post,2/4,879.0,4.0,51.0,45.0,6.0
IBD/CSM/TIPP,2/4,852.0,3.3,47.0,41.0,6.0
Rasmussen Reports,2/2,1500.0,3.0,45.0,45.0,0.0
USA Today/Gallup,1/28,907.0,4.0,48.0,48.0,0.0
NBC News/Wall St. Jrnl,1/24,449.1367552046546,3.7712031166268867,49.0,43.0,6.0
Rasmussen Reports,1/21,1500.0,3.0,46.0,43.0,3.0
PPP (D),1/16,700.0,3.7,49.0,44.0,5.0
CBS News/NY Times,1/16,1021.0,3.0,45.0,45.0,0.0
ABC News/Wash Post,1/15,449.1367552046546,3.7712031166268867,46.0,48.0,-2.0
Pew Research,1/16,1207.0,3.5,50.0,45.0,5.0
FOX News,1/14,906.0,3.0,46.0,45.0,1.0
CNN/Opinion Research,1/12,928.0,3.0,47.0,48.0,-1.0
Democracy Corps (D),1/11,1000.0,3.1,47.0,46.0,1.0
Rasmussen Reports,1/10,1000.0,3.0,44.0,41.0,3.0
Reuters/Ipsos,1/9,896.0,3.2,48.0,43.0,5.0
CBS News,1/8,1247.0,3.0,45.0,47.0,-2.0
Rasmussen Reports,1/4,1000.0,3.0,42.0,42.0,0.0
Rasmussen Reports,12/28,1000.0,3.0,39.0,45.0,-6.0
Rasmussen Reports,12/21,1000.0,3.0,44.0,41.0,3.0
CNN/Opinion Research,12/18,928.0,3.0,52.0,45.0,7.0
PPP (D),12/18,700.0,3.7,45.0,47.0,-2.0
ABC News/Wash Post,12/18,449.1367552046546,3.7712031166268867,47.0,47.0,0.0
USA Today/Gallup,12/18,898.0,4.0,50.0,48.0,2.0
Rasmussen Reports,12/15,1000.0,3.0,42.0,43.0,-1.0
Reuters/Ipsos,12/12,921.0,3.2,48.0,40.0,8.0
Associated Press/GfK,12/12,1000.0,4.0,47.0,46.0,1.0
NBC News/Wall St. Jrnl,12/11,449.1367552046546,3.7712031166268867,47.0,45.0,2.0
Rasmussen Reports,12/9,1000.0,3.0,42.0,45.0,-3.0
USA Today/Gallup,12/7,883.0,4.0,47.0,46.0,1.0
FOX News,12/7,911.0,3.0,44.0,42.0,2.0
Rasmussen Reports,12/1,1000.0,3.0,42.0,40.0,2.0
Rasmussen Reports,11/22,1000.0,3.0,44.0,38.0,6.0
Quinnipiac,11/20,2552.0,1.9,45.0,44.0,1.0
FOX News,11/15,914.0,3.0,42.0,44.0,-2.0
CNN/Opinion Research,11/13,925.0,3.0,47.0,51.0,-4.0
Pew Research,11/14,1576.0,3.0,49.0,47.0,2.0
PPP (D),11/13,800.0,3.5,46.0,43.0,3.0
Rasmussen Reports,11/10,1000.0,3.0,43.0,42.0,1.0
McClatchy/Marist,11/10,872.0,3.5,48.0,44.0,4.0
Politico/GWU/Battleground,11/9,1000.0,3.1,49.0,43.0,6.0
NBC News/Wall St. Jrnl,11/5,449.1367552046546,3.7712031166268867,49.0,43.0,6.0
ABC News/Wash Post,11/3,449.1367552046546,3.7712031166268867,46.0,47.0,-1.0
Reuters/Ipsos,11/3,937.0,3.2,43.0,44.0,-1.0
Rasmussen Reports,11/2,1000.0,3.0,42.0,41.0,1.0
Quinnipiac,10/31,2294.0,2.1,47.0,42.0,5.0
USA Today/Gallup,10/27,908.0,4.0,47.0,47.0,0.0
Rasmussen Reports,10/25,1000.0,3.0,42.0,44.0,-2.0
Democracy Corps (D),10/18,1000.0,3.7712031166268867,45.0,45.0,0.0
Rasmussen Reports,10/17,1000.0,3.0,43.0,42.0,1.0
Associated Press/GfK,10/17,1000.0,4.0,48.0,45.0,3.0
Time,10/10,838.0,3.7712031166268867,48.0,44.0,4.0
PPP (D),10/10,700.0,3.7,45.0,45.0,0.0
NBC News/Wall St. Jrnl,10/10,449.1367552046546,3.7712031166268867,46.0,44.0,2.0
Rasmussen Reports,10/9,1000.0,3.0,43.0,41.0,2.0
Quinnipiac,10/3,2118.0,2.1,42.0,46.0,-4.0
ABC News/Wash Post,10/2,449.1367552046546,3.7712031166268867,46.0,48.0,-2.0
Pew Research,10/4,1901.0,3.0,48.0,48.0,0.0
Rasmussen Reports,9/29,1000.0,3.0,42.0,44.0,-2.0
FOX News,9/27,925.0,3.0,45.0,42.0,3.0
CNN/Opinion Research,9/25,917.0,3.0,49.0,48.0,1.0
Rasmussen Reports,9/19,1000.0,3.0,44.0,41.0,3.0
USA Today/Gallup,9/18,889.0,4.0,47.0,49.0,-2.0
McClatchy/Marist,9/14,825.0,3.5,46.0,44.0,2.0
Bloomberg,9/12,997.0,3.1,48.0,43.0,5.0
Reuters/Ipsos,9/12,932.0,3.1,49.0,43.0,6.0
Rasmussen Reports,9/11,1000.0,3.0,40.0,43.0,-3.0
PPP (D),9/11,665.0,3.8,49.0,45.0,4.0
ABC News/Wash Post,9/1,449.1367552046546,3.7712031166268867,45.0,49.0,-4.0
NBC News/Wall St. Jrnl,8/31,449.1367552046546,3.7712031166268867,46.0,45.0,1.0
Rasmussen Reports,8/26,1000.0,3.0,43.0,39.0,4.0
Quinnipiac,8/27,2730.0,1.9,45.0,45.0,0.0
PPP (D),8/21,700.0,3.7,45.0,45.0,0.0
Rasmussen Reports,8/21,1000.0,3.0,46.0,38.0,8.0
Gallup,8/18,879.0,4.0,46.0,48.0,-2.0
Democracy Corps (D),8/10,1000.0,3.0,48.0,46.0,2.0
CNN/Opinion Research,8/7,930.0,3.0,49.0,48.0,1.0
McClatchy/Marist,8/4,807.0,3.5,46.0,41.0,5.0
FOX News,7/19,904.0,3.0,47.0,41.0,6.0
ABC News/Wash Post,7/17,449.1367552046546,3.7712031166268867,49.0,47.0,2.0
NBC News/Wall St. Jrnl,7/17,449.1367552046546,3.7712031166268867,48.0,41.0,7.0
PPP (D),7/17,928.0,3.2,45.0,45.0,0.0
Rasmussen Reports,7/15,1000.0,3.0,42.0,43.0,-1.0
Quinnipiac,7/11,2311.0,2.0,47.0,41.0,6.0
McClatchy/Marist,6/23,390.0,5.0,46.0,42.0,4.0
Democracy Corps (D),6/21,1000.0,3.0,47.0,45.0,2.0
NBC News/Wall St. Jrnl,6/13,449.1367552046546,3.1,49.0,43.0,6.0
PPP (D),6/12,520.0,4.3,47.0,45.0,2.0
FOX News,6/7,912.0,3.0,48.0,41.0,7.0
Reuters/Ipsos,6/6,1132.0,3.0,51.0,38.0,13.0
ABC News/Wash Post,6/5,449.1367552046546,3.5,46.0,49.0,-3.0
Quinnipiac,6/6,1946.0,2.2,47.0,41.0,6.0
PPP (D),5/25,600.0,4.0,49.0,42.0,7.0
Democracy Corps (D),5/25,1000.0,3.0,48.0,44.0,4.0
Politico/GWU/Battleground,5/12,1000.0,3.1,52.0,40.0,12.0
Reuters/Ipsos,5/9,600.0,3.7712031166268867,51.0,38.0,13.0
PPP (D),5/8,814.0,3.4,47.0,42.0,5.0
Newsweek/Daily Beast,5/3,600.0,3.0,42.0,36.0,6.0
Newsweek/Daily Beast,5/1,600.0,3.0,44.0,44.0,0.0
CNN/Opinion Research,5/1,964.0,3.0,54.0,43.0,11.0
ABC News/Wash Post,4/17,1001.0,3.5,49.0,45.0,4.0
McClatchy/Marist,4/14,532.0,4.5,46.0,45.0,1.0
Democracy Corps (D),4/12,1000.0,3.1,46.0,48.0,-2.0
PPP (D),4/10,532.0,4.3,47.0,41.0,6.0
PPP (D),3/13,642.0,3.9,47.0,42.0,5.0
Rasmussen Reports,3/9,2000.0,2.0,45.0,40.0,5.0
NBC News/Wall St. Jrnl,2/28,449.1367552046546,3.7712031166268867,49.0,40.0,9.0
Newsweek/Daily Beast,2/15,918.0,3.5,49.0,47.0,2.0
PPP (D),2/14,600.0,4.0,46.0,41.0,5.0
FOX News,2/9,911.0,3.0,48.0,41.0,7.0
PPP (D),1/16,632.0,3.9,48.0,43.0,5.0
Democracy Corps (D),1/12,1000.0,3.0,48.0,46.0,2.0
McClatchy/Marist,1/10,827.0,3.5,51.0,38.0,13.0
Rasmussen Reports,1/6,2000.0,3.7712031166268867,42.0,44.0,-2.0
NBC News/Wall St. Jrnl,12/13,1000.0,3.1,47.0,40.0,7.0
McClatchy/Marist,12/8,873.0,3.5,44.0,46.0,-2.0
PPP (D),11/21,707.0,3.7,47.0,46.0,1.0
Quinnipiac,11/15,2424.0,2.0,44.0,45.0,-1.0
CNN/Opinion Research,10/30,921.0,3.0,45.0,50.0,-5.0
FOX News,9/29,900.0,3.0,41.0,40.0,1.0
PPP (D),9/13,590.0,4.0,46.0,43.0,3.0
PPP (D),8/9,606.0,4.0,45.0,42.0,3.0
PPP (D),7/12,667.0,3.8,43.0,46.0,-3.0
PPP (D),6/7,650.0,3.8,45.0,42.0,3.0
PPP (D),5/9,707.0,3.7,46.0,44.0,2.0
PPP (D),4/11,622.0,3.9,44.0,45.0,-1.0
CNN/Opinion Research,4/11,907.0,3.5,53.0,45.0,8.0
PPP (D),3/14,1403.0,2.6,44.0,44.0,0.0
PPP (D),2/15,743.0,3.6,45.0,43.0,2.0
PPP (D),1/19,1151.0,2.8,44.0,42.0,2.0
FOX News,1/14,900.0,3.0,47.0,35.0,12.0
PPP (D),12/7,1253.0,2.8,47.0,42.0,5.0
Rasmussen Reports,11/24,800.0,3.5,44.0,44.0,0.0
PPP (D),11/15,1066.0,3.0,48.0,43.0,5.0
PPP (D),10/19,766.0,3.5,48.0,40.0,8.0
PPP (D),9/21,621.0,3.9,48.0,39.0,9.0
PPP (D),8/17,909.0,3.3,47.0,40.0,7.0
Rasmussen Reports,7/17,1000.0,3.0,45.0,45.0,0.0
PPP (D),7/16,577.0,4.1,49.0,40.0,9.0
PPP (D),6/16,638.0,3.9,48.0,40.0,8.0
PPP (D),5/18,1000.0,3.1,53.0,35.0,18.0
PPP (D),4/19,686.0,3.7,50.0,39.0,11.0
